pmid,theme
41158264,necroptosis
40895543,necroptosis
40893939,necroptosis
40740228,necroptosis
40596554,necroptosis
40530113,necroptosis
40104746,necroptosis
39974401,necroptosis
39781726,necroptosis
39747333,necroptosis
39655212,necroptosis
39641162,necroptosis
39333335,necroptosis
39315163,necroptosis
39309864,necroptosis
39263127,necroptosis
39253245,necroptosis
39213052,necroptosis
39115788,necroptosis
39081870,necroptosis
38872949,necroptosis
38797018,necroptosis
38635069,necroptosis
38546403,necroptosis
38439879,necroptosis
38383747,necroptosis
42542475,autophagy
42367125,autophagy
42292425,autophagy
42276250,autophagy
42259854,autophagy
42199837,autophagy
42182752,autophagy
42169872,autophagy
41902657,autophagy
41821654,autophagy
41812304,autophagy
41793596,autophagy
41681864,autophagy
41479192,autophagy
41298756,autophagy
41040512,autophagy
40783519,autophagy
40686517,autophagy
40592763,autophagy
40530112,autophagy
40489463,autophagy
40488804,autophagy
40401006,autophagy
40330698,autophagy
40228246,autophagy
40126694,autophagy
39838125,autophagy
39789383,autophagy
39760097,autophagy
39640604,autophagy
42606648,hypoxia
42584769,hypoxia
41751324,hypoxia
41693851,hypoxia
41584048,hypoxia
41584042,hypoxia
41510071,hypoxia
40933995,hypoxia
40696736,hypoxia
40621799,hypoxia
40593344,hypoxia
40315225,hypoxia
39941131,hypoxia
39663278,hypoxia
39431298,hypoxia
39416790,hypoxia
39385179,hypoxia
39134603,hypoxia
38965505,hypoxia
38902737,hypoxia
38887298,hypoxia
38726277,hypoxia
38700744,hypoxia
38608147,hypoxia
38561760,hypoxia
38496249,hypoxia
38482057,hypoxia
38364250,hypoxia
42528570,glycolysis
42212377,glycolysis
42018095,glycolysis
41973179,glycolysis
41792142,glycolysis
41674985,glycolysis
41345488,glycolysis
40989165,glycolysis
40950877,glycolysis
40842856,glycolysis
40824331,glycolysis
40707588,glycolysis
40687254,glycolysis
40321814,glycolysis
40299448,glycolysis
40264860,glycolysis
40226108,glycolysis
40093327,glycolysis
40047469,glycolysis
40046063,glycolysis
40023306,glycolysis
39507025,glycolysis
39119106,glycolysis
38860098,glycolysis
38685060,glycolysis
38601183,glycolysis
38516783,glycolysis
38337164,glycolysis
38017469,glycolysis
42089102,epithelial-mesenchymal transition
42007152,epithelial-mesenchymal transition
41815135,epithelial-mesenchymal transition
41372983,epithelial-mesenchymal transition
41264061,epithelial-mesenchymal transition
40950705,epithelial-mesenchymal transition
39262476,epithelial-mesenchymal transition
38255198,epithelial-mesenchymal transition
37990105,epithelial-mesenchymal transition
37679111,epithelial-mesenchymal transition
37538794,epithelial-mesenchymal transition
37443495,epithelial-mesenchymal transition
37304549,epithelial-mesenchymal transition
36910014,epithelial-mesenchymal transition
36778912,epithelial-mesenchymal transition
36685840,epithelial-mesenchymal transition
36398231,epithelial-mesenchymal transition
36159424,epithelial-mesenchymal transition
36081504,epithelial-mesenchymal transition
35880752,epithelial-mesenchymal transition
35685422,epithelial-mesenchymal transition
35608185,epithelial-mesenchymal transition
35205261,epithelial-mesenchymal transition
35095892,epithelial-mesenchymal transition
35036605,epithelial-mesenchymal transition
34880375,epithelial-mesenchymal transition
34722623,epithelial-mesenchymal transition
34659539,epithelial-mesenchymal transition
34659346,epithelial-mesenchymal transition
34532136,epithelial-mesenchymal transition
42392347,angiogenesis
42359387,angiogenesis
41639165,angiogenesis
41386021,angiogenesis
41380386,angiogenesis
41196458,angiogenesis
41126120,angiogenesis
41073579,angiogenesis
40670727,angiogenesis
40629658,angiogenesis
40480146,angiogenesis
40445580,angiogenesis
40438100,angiogenesis
40379825,angiogenesis
40198448,angiogenesis
40076759,angiogenesis
39995998,angiogenesis
39881026,angiogenesis
39394121,angiogenesis
39391470,angiogenesis
39237807,angiogenesis
39191168,angiogenesis
39040272,angiogenesis
39033204,angiogenesis
38962272,angiogenesis
38817877,angiogenesis
38817605,angiogenesis
38752633,angiogenesis
38706901,angiogenesis
38347320,angiogenesis
42643623,immune
42638932,immune
42629666,immune
42611564,immune
42607524,immune
42597332,immune
42583106,immune
42564384,immune
42547969,immune
42529575,immune
42528797,immune
42524197,immune
42513296,immune
42499036,immune
42499033,immune
42494653,immune
42482174,immune
42481779,immune
42469385,immune
42465002,immune
42464188,immune
42463566,immune
42445408,immune
42445360,immune
42391015,immune
42365360,immune
42350345,immune
42347829,immune
42340520,immune
42666044,inflammation
42558555,inflammation
42393884,inflammation
41894176,inflammation
41869666,inflammation
41858924,inflammation
41391060,inflammation
41201557,inflammation
41113979,inflammation
40962473,inflammation
40606673,inflammation
40557150,inflammation
40460813,inflammation
40392448,inflammation
40205166,inflammation
40045861,inflammation
39932605,inflammation
39905567,inflammation
39639610,inflammation
39572651,inflammation
39556271,inflammation
39188937,inflammation
39145071,inflammation
39055701,inflammation
38903179,inflammation
38778969,inflammation
38742117,inflammation
38635528,inflammation
38616304,inflammation
38577477,inflammation
42122127,cellular senescence
41351089,cellular senescence
41275062,cellular senescence
41258196,cellular senescence
41136974,cellular senescence
40638021,cellular senescence
40510161,cellular senescence
40299498,cellular senescence
40032765,cellular senescence
39855898,cellular senescence
39723224,cellular senescence
39355236,cellular senescence
39267750,cellular senescence
39145087,cellular senescence
39135779,cellular senescence
39130410,cellular senescence
38989417,cellular senescence
38976093,cellular senescence
38658505,cellular senescence
38560217,cellular senescence
38435998,cellular senescence
38411939,cellular senescence
37807645,cellular senescence
37768206,cellular senescence
37664030,cellular senescence
37565732,cellular senescence
37072128,cellular senescence
37031510,cellular senescence
36911393,cellular senescence
36761024,cellular senescence
39262465,N6-methyladenosine
39042347,N6-methyladenosine
38299031,N6-methyladenosine
37465899,N6-methyladenosine
37427112,N6-methyladenosine
36230580,N6-methyladenosine
36226036,N6-methyladenosine
36213821,N6-methyladenosine
36168326,N6-methyladenosine
36061188,N6-methyladenosine
35778697,N6-methyladenosine
35669515,N6-methyladenosine
35601490,N6-methyladenosine
35377983,N6-methyladenosine
35314871,N6-methyladenosine
35311131,N6-methyladenosine
35303965,N6-methyladenosine
35300127,N6-methyladenosine
35220962,N6-methyladenosine
35189585,N6-methyladenosine
35154513,N6-methyladenosine
35095893,N6-methyladenosine
35042477,N6-methyladenosine
34950253,N6-methyladenosine
34876833,N6-methyladenosine
34802433,N6-methyladenosine
34777460,N6-methyladenosine
34745388,N6-methyladenosine
34721523,N6-methyladenosine
34712696,N6-methyladenosine
42445419,mitochondrial
42343374,mitochondrial
42334668,mitochondrial
42244509,mitochondrial
41976367,mitochondrial
41816588,mitochondrial
41466155,mitochondrial
41427247,mitochondrial
41282991,mitochondrial
41252049,mitochondrial
41219819,mitochondrial
41216283,mitochondrial
41193924,mitochondrial
40953006,mitochondrial
40939431,mitochondrial
40886211,mitochondrial
40790033,mitochondrial
40483519,mitochondrial
40186721,mitochondrial
40182032,mitochondrial
40109861,mitochondrial
40004017,mitochondrial
39983884,mitochondrial
39789247,mitochondrial
39692950,mitochondrial
39678889,mitochondrial
39478854,mitochondrial
39380996,mitochondrial
39356352,mitochondrial
39296545,mitochondrial
42550740,lipid metabolism
42506409,lipid metabolism
42361409,lipid metabolism
42351260,lipid metabolism
42185987,lipid metabolism
42184045,lipid metabolism
42180928,lipid metabolism
42180923,lipid metabolism
41546728,lipid metabolism
41381057,lipid metabolism
41291146,lipid metabolism
41234879,lipid metabolism
41164132,lipid metabolism
41158277,lipid metabolism
40988925,lipid metabolism
40785668,lipid metabolism
40779908,lipid metabolism
40747103,lipid metabolism
40462127,lipid metabolism
40460484,lipid metabolism
40426878,lipid metabolism
40188284,lipid metabolism
39827204,lipid metabolism
39538125,lipid metabolism
39524444,lipid metabolism
39463421,lipid metabolism
39190262,lipid metabolism
39167955,lipid metabolism
38720279,lipid metabolism
38440405,lipid metabolism
42180897,cholesterol metabolism
41955235,cholesterol metabolism
41288805,cholesterol metabolism
40853516,cholesterol metabolism
40736630,cholesterol metabolism
40302802,cholesterol metabolism
39816559,cholesterol metabolism
37938654,cholesterol metabolism
37801479,cholesterol metabolism
37488496,cholesterol metabolism
42671485,oxidative stress
42601732,oxidative stress
42418409,oxidative stress
42141926,oxidative stress
41952003,oxidative stress
41942838,oxidative stress
41935137,oxidative stress
41863163,oxidative stress
41793564,oxidative stress
41731838,oxidative stress
41430351,oxidative stress
41420065,oxidative stress
41367017,oxidative stress
40894479,oxidative stress
40824414,oxidative stress
40823088,oxidative stress
40624187,oxidative stress
40613299,oxidative stress
40595862,oxidative stress
40343143,oxidative stress
40274661,oxidative stress
39966531,oxidative stress
39781724,oxidative stress
39669999,oxidative stress
39514138,oxidative stress
39240371,oxidative stress
39162393,oxidative stress
39156675,oxidative stress
39095620,oxidative stress
41678015,glutamine metabolism
41559659,glutamine metabolism
41463320,glutamine metabolism
40909968,glutamine metabolism
40613031,glutamine metabolism
40113615,glutamine metabolism
39563436,glutamine metabolism
39386842,glutamine metabolism
39300580,glutamine metabolism
39171464,glutamine metabolism
38509907,glutamine metabolism
37387559,glutamine metabolism
36983244,glutamine metabolism
36843602,glutamine metabolism
36660731,glutamine metabolism
33042807,glutamine metabolism
42624177,apoptosis
42158360,apoptosis
42153148,apoptosis
41827671,apoptosis
41820703,apoptosis
41809565,apoptosis
41677965,apoptosis
41635044,apoptosis
41601652,apoptosis
41497799,apoptosis
41436831,apoptosis
41201629,apoptosis
41168318,apoptosis
41013216,apoptosis
40861804,apoptosis
40740774,apoptosis
40679719,apoptosis
40348840,apoptosis
39580765,apoptosis
39577840,apoptosis
39376659,apoptosis
39368544,apoptosis
39082332,apoptosis
39069260,apoptosis
39027504,apoptosis
38894720,apoptosis
38817872,apoptosis
38654165,apoptosis
42326762,exosome
42177720,exosome
41975138,exosome
41948338,exosome
41668902,exosome
41612047,exosome
41204322,exosome
41054074,exosome
40994257,exosome
40900420,exosome
40890357,exosome
40816225,exosome
40665078,exosome
40380258,exosome
40155942,exosome
39960565,exosome
39847423,exosome
38761234,exosome
38728235,exosome
38577908,exosome
38293480,exosome
38186215,exosome
38021786,exosome
37800824,exosome
37371537,exosome
36726489,exosome
36620585,exosome
36566321,exosome
36081999,exosome
36034976,exosome
41234843,cancer stem cell
38561604,cancer stem cell
38066053,cancer stem cell
37455453,cancer stem cell
37377935,cancer stem cell
35048799,cancer stem cell
34474642,cancer stem cell
32852285,cancer stem cell
40504362,cuproptosis-related ferroptosis
39883700,cuproptosis-related ferroptosis
39825108,cuproptosis-related ferroptosis
39696618,cuproptosis-related ferroptosis
39324703,cuproptosis-related ferroptosis
39270538,cuproptosis-related ferroptosis
39107713,cuproptosis-related ferroptosis
38192999,cuproptosis-related ferroptosis
38058804,cuproptosis-related ferroptosis
37712959,cuproptosis-related ferroptosis
37670938,cuproptosis-related ferroptosis
37622116,cuproptosis-related ferroptosis
37189176,cuproptosis-related ferroptosis
37152283,cuproptosis-related ferroptosis
36911392,cuproptosis-related ferroptosis
36760376,cuproptosis-related ferroptosis
36755568,cuproptosis-related ferroptosis
36713586,cuproptosis-related ferroptosis
36045691,cuproptosis-related ferroptosis
35910212,cuproptosis-related ferroptosis
